Date,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume
30-01-2021,128437.2485,34246.28,131012.7232,34933,123106.88,32825,128333.2124,34218.54,43072
29-01-2021,125144.0223,33368.18,144510.0378,38531.9,119695.5162,31915.4,128459.4509,34252.2,231827
28-01-2021,113870.3574,30362.19,126703.4386,33783.98,111919.8118,29842.1,125131.5709,33364.86,92621
27-01-2021,121753.0231,32464.01,122102.8604,32557.29,109668.1467,29241.72,113885.209,30366.15,95911
26-01-2021,120966.1142,32254.19,123470.2188,32921.88,115652.4724,30837.37,121767.1246,32467.77,84972
25-01-2021,120985.8413,32259.45,130795.2,34875,119675.264,31910,120966.1517,32254.2,88499
24-01-2021,120305.3312,32078,124029.4784,33071,115887.36,30900,120987.529,32259.9,57978
23-01-2021,123575.68,32950,125473.3824,33456,117725.6561,31390.16,120305.3312,32078,64595
22-01-2021,115707.3033,30851.99,126863.0181,33826.53,108199.04,28850,123557.5656,32945.17,142971
21-01-2021,133020.0498,35468.23,133514.24,35600,112778.2784,30071,115700.3276,30850.13,131803
20-01-2021,134646.6358,35901.94,136571.9786,36415.31,125263.36,33400,133020.0498,35468.23,89368
19-01-2021,137348.874,36622.46,141952.64,37850,134429.5626,35844.06,134607.4441,35891.49,79611
18-01-2021,134358.0425,35824.99,140526.8504,37469.83,130513.92,34800,137381.915,36631.27,70698
17-01-2021,134995.573,35994.98,138211.616,36852.5,126951.04,33850,134371.6189,35828.61,80157
16-01-2021,137780.0575,36737.43,142327.68,37950,132605.8931,35357.8,134995.573,35994.98,86348
15-01-2021,146810.1956,39145.21,149069.9991,39747.76,129043.7632,34408,137798.0219,36742.22,118300
14-01-2021,140157.6236,37371.38,150391.04,40100,137644.293,36701.23,146807.5328,39144.5,102950
13-01-2021,127697.9322,34049.15,141952.64,37850,121437.952,32380,140157.6236,37371.38,124477
12-01-2021,132803.0516,35410.37,137369.6512,36628,122004.2624,32531,127705.7705,34051.24,133948
11-01-2021,143077.835,38150.02,143508.0809,38264.74,114087.168,30420,132780.9243,35404.47,249131
10-01-2021,150346.8603,40088.22,155079.04,41350,131680.7069,35111.11,143077.835,38150.02,118209
09-01-2021,152217.3348,40586.96,155191.552,41380,145215.488,38720,150346.8603,40088.22,75785
08-01-2021,147887.573,39432.48,157329.28,41950,136889.6,36500,152201.7706,40582.81,139789
07-01-2021,137899.8077,36769.36,151384.896,40365,136139.52,36300,147886.8229,39432.28,132825
06-01-2021,127324.3173,33949.53,138536.8132,36939.21,124843.3152,33288,137899.8077,36769.36,127139
05-01-2021,119974.3584,31989.75,128863.744,34360,112136.96,29900,127324.3173,33949.53,116049
04-01-2021,123763.3875,33000.05,126013.44,33600,105498.752,28130,119970.458,31988.71,140899
03-01-2021,120674.5581,32176.45,130431.8237,34778.11,119873.9977,31962.99,123763.3875,33000.05,120957
02-01-2021,110005.6077,29331.7,124888.32,33300,108561.0661,28946.53,120681.6088,32178.33,129993
01-01-2021,108475.182,28923.63,111011.84,29600,107353.5873,28624.57,110005.5702,29331.69,54182
31-12-2020,108294.8627,28875.55,109886.72,29300,104448.64,27850,108475.182,28923.63,75508
30-12-2020,102704.704,27385,108746.5984,28996,102460.928,27320,108294.8252,28875.54,95356
29-12-2020,101558.6568,27079.42,102798.464,27410,97060.352,25880,102704.704,27385,69411
28-12-2020,98566.28762,26281.54,103136,27500,97889.1904,26101,101558.6193,27079.41,79721
27-12-2020,99360.84736,26493.4,106593.8688,28422,96385.28,25700,98566.73766,26281.66,148455
26-12-2020,92681.64749,24712.47,100762.1093,26867.03,91884.8,24500,99360.80986,26493.39,97806
25-12-2020,88993.2041,23728.99,92971.89094,24789.86,87885.37344,23433.6,92681.64749,24712.47,79519
24-12-2020,87130.75546,23232.39,89238.63027,23794.43,85146.90637,22703.42,88993.99168,23729.2,69013
23-12-2020,89299.98682,23810.79,90384.64,24100,84759.04,22600,87132.1431,23232.76,119047
22-12-2020,85208.63795,22719.88,89398.65984,23837.1,83834.19136,22353.4,89299.98682,23810.79,87033
21-12-2020,87967.65722,23455.54,90395.02861,24102.77,81814.976,21815,85208.00038,22719.71,88030
20-12-2020,89340.52864,23821.6,91115.968,24295,86484.224,23060,87967.58221,23455.52,76690
19-12-2020,86661.95546,23107.39,90652.68109,24171.47,85321.6,22750,89340.56614,23821.61,86045
18-12-2020,85498.43136,22797.15,87328.73907,23285.18,83821.44,22350,86661.95546,23107.39,79646
17-12-2020,80016.73421,21335.52,89259.52,23800,79620.992,21230,85498.46886,22797.16,184882
16-12-2020,72856.88307,19426.43,80858.624,21560,72302.46144,19278.6,80016.73421,21335.52,114306
15-12-2020,72284.04698,19273.69,73395.328,19570,71445.12,19050,72856.88307,19426.43,61834
14-12-2020,71913.8825,19174.99,72566.4896,19349,71257.6,19000,72281.98426,19273.14,47257
13-12-2020,70540.11098,18808.69,72799.0144,19411,70174.18445,18711.12,71913.8825,19174.99,56560
12-12-2020,67644.20211,18036.53,71065.05446,18948.66,67584.83328,18020.7,70540.11098,18808.69,49519
11-12-2020,68462.83942,18254.81,68605.05459,18292.73,65903.26643,17572.33,67644.20211,18036.53,72610
10-12-2020,69537.25402,18541.29,69597.37293,18557.32,67173.86445,17911.12,68462.16435,18254.63,52890
09-12-2020,68722.74214,18324.11,69905.84333,18639.57,66194.56,17650,69537.21651,18541.28,79585
08-12-2020,71883.54176,19166.9,72363.36794,19294.84,68257.28,18200,68722.74214,18324.11,61626
07-12-2020,72602.75597,19358.67,72836.18086,19420.91,70893.36115,18902.88,71883.54176,19166.9,41372
06-12-2020,71811.38406,19147.66,72832.768,19420,70721.2928,18857,72605.49376,19359.4,37043
05-12-2020,69946.8727,18650.51,71921.4208,19177,69382.4,18500,71811.38406,19147.66,42922
04-12-2020,72841.54394,19422.34,73234.0608,19527,69627.33862,18565.31,69946.91021,18650.52,71283
03-12-2020,72022.98163,19204.08,73500.3392,19598,70759.54688,18867.2,72839.89376,19421.9,66689
02-12-2020,70376.10598,18764.96,72540.2368,19342,68744.832,18330,72023.01914,19204.09,75911
01-12-2020,73867.39085,19695.87,74587.9552,19888,67511.40045,18001.12,70376.10598,18764.96,127698
30-11-2020,68201.024,18185,74494.79526,19863.16,68200.9865,18184.99,73867.39085,19695.87,115463
29-11-2020,66456.48794,17719.84,68857.53152,18360.05,65695.7568,17517,68200.9865,18184.99,55329
28-11-2020,64280.09331,17139.53,67058.9897,17880.49,63252.59622,16865.56,66456.52544,17719.85,64910
27-11-2020,64317.37229,17149.47,65473.05805,17457.62,61649.37523,16438.08,64280.05581,17139.52,85297
26-11-2020,70203.10003,18718.83,70938.92851,18915.03,60711.4752,16188,64317.37229,17149.47,181005
25-11-2020,71857.664,19160,73073.58118,19484.21,69383.41261,18500.27,70204.15014,18719.11,93266
24-11-2020,68887.3847,18368.01,72828.90509,19418.97,67574.7072,18018,71857.7015,19160.01,113581
23-11-2020,69059.41555,18413.88,70380.0064,18766,67507.2,18000,68887.3472,18368,82961
22-11-2020,70146.73152,18703.8,70320,18750,66047.76934,17610.86,69061.47827,18414.43,81645
21-11-2020,69966.18726,18655.66,71129.71136,18965.9,68664.49843,18308.58,70146.73152,18703.8,75577
20-11-2020,66767.65862,17802.81,70564.60109,18815.22,66532.24602,17740.04,69966.22477,18655.67,88423
19-11-2020,66673.6736,17777.75,68181.52192,18179.8,65015.62176,17335.65,66767.69613,17802.82,93009
18-11-2020,66229.73875,17659.38,69295.87827,18476.93,64561.07328,17214.45,66667.56045,17776.12,149019
17-11-2020,62680.73523,16713.08,66977.71853,17858.82,62024.1152,16538,66229.73875,17659.38,115221
16-11-2020,59845.1328,15957,63306.752,16880,59496.3456,15864,62682.57293,16713.57,81300
15-11-2020,60267.27782,16069.56,60681.472,16180,59161.50989,15774.72,59845.1328,15957,43596
14-11-2020,61206.67802,16320.04,61232.7433,16326.99,58768.768,15670,60270.61568,16070.45,59116
13-11-2020,61100.95424,16291.85,61806.592,16480,59827.69344,15952.35,61209.15328,16320.7,75691
12-11-2020,58822.2112,15684.25,61284.16128,16340.7,57908.57626,15440.64,61100.99174,16291.86,102196
11-11-2020,57370.65638,15297.21,59875.136,15965,57278.65907,15272.68,58822.1737,15684.24,78469
10-11-2020,57487.66886,15328.41,57981.184,15460,56527.75398,15072.46,57370.65638,15297.21,61681
09-11-2020,58037.81504,15475.1,59406.336,15840,55526.69722,14805.54,57487.66886,15328.41,108976
08-11-2020,55574.55232,14818.3,58693.76,15650,55145.43155,14703.88,58037.81504,15475.1,65547
07-11-2020,58430.96947,15579.93,59082.00141,15753.52,53796.56269,14344.22,55574.55232,14818.3,101431
06-11-2020,58468.81101,15590.02,59856.384,15960,56878.5664,15166,58430.93197,15579.92,122618
05-11-2020,53045.6951,14144.01,59068.8,15750,52856.48742,14093.56,58468.81101,15590.02,143741
04-11-2020,52593.84691,14023.53,53476.9536,14259,50724.16,13525,53045.6951,14144.01,93016
03-11-2020,50816.53235,13549.63,52753.53894,14066.11,49824.0265,13284.99,52593.84691,14023.53,74115
02-11-2020,51611.0921,13761.49,51868.032,13830,49486.71552,13195.05,50815.55725,13549.37,64566
01-11-2020,51721.7664,13791,52111.808,13895,51016.6912,13603,51611.1296,13761.5,36285
31-10-2020,50855.79904,13560.1,52880.64,14100,50298.4896,13411.5,51721.7664,13791,67339
30-10-2020,50464.21978,13455.69,51267.89299,13669.98,49186.496,13115,50855.79904,13560.1,70657
29-10-2020,49754.30656,13266.4,51166.36966,13642.91,48458.05581,12920.77,50464.25728,13455.7,74872
28-10-2020,51141.05446,13636.16,51978.59379,13859.48,48335.1552,12888,49754.30656,13266.4,94440
27-10-2020,48950.78336,13052.15,51715.35322,13789.29,48829.72045,13019.87,51141.09197,13636.17,80796
26-10-2020,48866.36186,13029.64,49650.83302,13238.81,47873.856,12765,48950.93338,13052.19,60951
25-10-2020,49174.23219,13111.73,50067.84,13350,48335.1552,12888,48863.32403,13028.83,38481
24-10-2020,48466.64422,12923.06,49380.50419,13166.73,48267.648,12870,49174.23219,13111.73,35952
23-10-2020,48638.33754,12968.84,48859.04858,13027.69,47705.38803,12720.08,48466.68173,12923.07,50386
22-10-2020,47932.9248,12780.75,49449.024,13185,47547.87123,12678.08,48637.13741,12968.52,70038
21-10-2020,44667.264,11910,49571.58707,13217.68,44580.81728,11886.95,47933.71238,12780.96,114584
20-10-2020,44072.67558,11751.46,45148.74035,12038.38,43795.63354,11677.59,44667.2265,11909.99,62134
19-10-2020,43141.37626,11503.14,44344.6921,11823.99,42784.41318,11407.96,44072.71309,11751.47,47414
18-10-2020,42605.70662,11360.31,43148.352,11505,42552.86349,11346.22,43141.37626,11503.14,23284
17-10-2020,42451.6777,11319.24,42763.63597,11402.42,42210.752,11255,42605.29408,11360.2,22368
16-10-2020,43148.83955,11505.13,43283.92896,11541.15,42004.48,11200,42451.97773,11319.32,48797
15-10-2020,42821.65466,11417.89,43569.67194,11617.34,42195.11283,11250.83,43148.80205,11505.12,48760
14-10-2020,42831.70573,11420.57,43309.54419,11547.98,42304.512,11280,42821.65466,11417.89,41415
13-10-2020,43235.5113,11528.24,43343.3728,11557,42379.52,11300,42831.66822,11420.56,42205
12-10-2020,42638.37261,11369.02,43954.7255,11720.01,41899.4688,11172,43235.5488,11528.25,52825
11-10-2020,42354.09229,11293.22,42923.328,11445,42083.2384,11221,42638.37261,11369.02,29043
10-10-2020,41444.32026,11050.64,43095.8464,11491,41443.8327,11050.51,42354.09229,11293.22,43648
09-10-2020,40974.77018,10925.44,41646.84186,11104.64,40613.0816,10829,41444.32026,11050.64,48240
08-10-2020,40003.26656,10666.4,41066.88,10950,39493.24966,10530.41,40975.25773,10925.57,51959
07-10-2020,39752.92736,10599.65,40061.28525,10681.87,39552.35597,10546.17,40003.22906,10666.39,32811
06-10-2020,40475.06688,10792.2,40504.32,10800,39472.96,10525,39752.96486,10599.66,48674
05-10-2020,40004.09165,10666.62,40496.8192,10798,39812.89626,10615.64,40475.10438,10792.21,34025
04-10-2020,39536.97933,10542.07,40117.54125,10696.87,39446.21965,10517.87,40004.12915,10666.63,23212
03-10-2020,39643.22816,10570.4,39767.59142,10603.56,39365.92358,10496.46,39536.94182,10542.06,22298
02-10-2020,39825.98515,10619.13,39996.66586,10664.64,38906.6496,10374,39643.22816,10570.4,50130
01-10-2020,40416.52314,10776.59,40954.368,10920,39142.9248,10437,39825.98515,10619.13,60866
30-09-2020,40656.51123,10840.58,40689.36474,10849.34,39998.50355,10665.13,40416.52314,10776.59,39596
29-09-2020,40114.69094,10696.11,40757.62202,10867.54,39888.76685,10635.87,40656.13619,10840.48,41874
28-09-2020,40407.7847,10774.26,41066.88,10950,39851.7504,10626,40114.72845,10696.12,50095
27-09-2020,40236.50394,10728.59,40500.5696,10799,39734.81293,10594.82,40407.7472,10774.25,30549
26-09-2020,40078.91213,10686.57,40582.85338,10820.94,39921.80787,10644.68,40236.54144,10728.6,28420
25-09-2020,40265.53203,10736.33,40356.29171,10760.53,39590.1225,10556.24,40079.28717,10686.67,48101
24-09-2020,38409.57158,10241.46,40486.4681,10795.24,38220.06387,10190.93,40265.49453,10736.32,57676
23-09-2020,39490.24934,10529.61,39518.52736,10537.15,38017.12973,10136.82,38409.57158,10241.46,51876
22-09-2020,39068.74189,10417.22,39651.89158,10572.71,38827.8912,10353,39490.24934,10529.61,43991
21-09-2020,40955.41811,10920.28,41212.62054,10988.86,38615.43104,10296.35,39068.74189,10417.22,70683
20-09-2020,41556.83226,11080.64,41556.83226,11080.64,40215.5392,10723,40955.41811,10920.28,39157
19-09-2020,41004.62336,10933.4,41928.68442,11179.79,40831.99245,10887.37,41556.86976,11080.65,38440
18-09-2020,41029.376,10940,41397.02771,11038.03,40552.47514,10812.84,41004.58586,10933.39,47266
17-09-2020,41081.9191,10954.01,41424.89318,11045.46,40301.16083,10745.83,41029.3385,10939.99,55601
16-09-2020,40448.92659,10785.23,41603.1872,11093,39983.83949,10661.22,41081.9191,10954.01,64991
15-09-2020,40023.40621,10671.77,40992.02202,10930.04,39778.54259,10606.48,40449.22662,10785.31,61822
14-09-2020,38752.28314,10332.84,40316.8,10750,38300.35994,10212.34,40023.40621,10671.77,67059
13-09-2020,39156.68877,10440.67,39679.64454,10580.11,38254.08,10200,38752.24563,10332.83,43837
12-09-2020,38958.74266,10387.89,39296.57869,10477.97,38513.7952,10269.25,39157.62637,10440.92,35379
11-09-2020,38767.35974,10336.86,38995.15904,10397.6,38254.08,10200,38958.74266,10387.89,43830
10-09-2020,38326.42522,10219.29,39316.75584,10483.35,37769.64083,10070.83,38767.39725,10336.87,58253
09-09-2020,37979.02566,10126.66,38790.3872,10343,37432.7799,9981.01,38326.08768,10219.2,49347
08-09-2020,38904.58688,10373.45,39146.6752,10438,36941.44,9850,37978.98816,10126.65,73491
07-09-2020,38463.68986,10255.89,39044.4768,10410.75,37035.2,9875,38904.54938,10373.44,62620
06-09-2020,38129.15418,10166.69,38805.91386,10347.14,37484.72294,9994.86,38464.85248,10256.2,56368
05-09-2020,39177.616,10446.25,39625.52627,10565.68,36847.68,9825,38129.15418,10166.69,90001
04-09-2020,38022.64282,10138.29,39855.68832,10627.05,37037.0752,9875.5,39177.616,10446.25,92733
03-09-2020,42711.58042,11388.54,42989.33504,11462.6,37356.98432,9960.8,38032.24384,10140.85,121950
02-09-2020,44712.15629,11921.97,44834.41933,11954.57,41854.83904,11160.1,42711.58042,11388.54,87221
01-09-2020,43690.3223,11649.51,45195.50784,12050.85,43185.856,11515,44712.15629,11921.97,78148
31-08-2020,43921.57197,11711.17,44257.60781,11800.77,43392.128,11570,43690.3223,11649.51,55353
30-08-2020,43001.48634,11465.84,43950.9376,11719,42972.0832,11458,43921.53446,11711.16,43177
29-08-2020,43230.48576,11526.9,43429.70701,11580.02,42818.46682,11417.04,43001.48634,11465.84,32973
28-08-2020,42493.45715,11330.38,43289.55456,11542.65,42292.84826,11276.89,43230.52326,11526.91,45953
27-08-2020,42984.90957,11461.42,43475.38688,11592.2,41723.2,11125,42493.45715,11330.38,63246
26-08-2020,42448.60237,11318.42,43277.06573,11539.32,42169.4976,11244,42984.94707,11461.43,53998
25-08-2020,44060.41178,11748.19,44134.14464,11767.85,41695.59706,11117.64,42448.60237,11318.42,69590
24-08-2020,43685.10925,11648.12,44348.10496,11824.9,43448.72154,11585.09,44060.44928,11748.2,46212
23-08-2020,43742.8279,11663.51,43947.44973,11718.07,43182.59315,11514.13,43685.14675,11648.13,37900
22-08-2020,43246.72499,11531.23,43827.1744,11686,42667.58822,11376.81,43740.76518,11662.96,43678
21-08-2020,44455.51642,11853.54,44547.2512,11878,43076.38182,11485.81,43247.13754,11531.34,64448
20-08-2020,44083.62675,11754.38,44584.7552,11888,43759.6672,11668,44455.55392,11853.55,46085
19-08-2020,44798.90304,11945.1,45080.10803,12020.08,43358.3744,11561,44084.41434,11754.59,73940
18-08-2020,46059.22496,12281.15,46459.09261,12387.77,44321.96467,11817.93,44798.5655,11945.01,75923
17-08-2020,44670.9769,11910.99,46759.9872,12468,44141.38291,11769.78,46059.14995,12281.13,84734
16-08-2020,44451.24096,11852.4,44748.72269,11931.72,43827.1744,11686,44671.0144,11911,41368
15-08-2020,44106.76672,11760.55,44929.792,11980,43804.672,11680,44451.24096,11852.4,56237
14-08-2020,44178.84941,11779.77,44442.24,11850,43632.26611,11634.03,44106.72922,11760.54,59818
13-08-2020,43370.90074,11564.34,44228.31718,11792.96,42268.35814,11270.36,44179.712,11780,70132
12-08-2020,42724.89434,11392.09,43570.34701,11617.52,41816.96,11150,43370.86323,11564.33,64909
11-08-2020,44603.13216,11892.9,44761.024,11935,41723.2,11125,42724.85683,11392.08,90748
10-08-2020,43811.01018,11681.69,45257.38944,12067.35,42942.08,11450,44603.20717,11892.92,84952
09-08-2020,44108.52941,11761.02,44243.88134,11797.11,43211.99629,11521.97,43810.97267,11681.68,41493
08-08-2020,43483.48774,11594.36,44285.73581,11808.27,43174.6048,11512,44109.99206,11761.41,41858
07-08-2020,44113.96749,11762.47,44667.03898,11909.94,42462.0288,11322,43483.00019,11594.23,65755
06-08-2020,44048.11046,11744.91,44629.76,11900,43364,11562.5,44113.92998,11762.46,63529
05-08-2020,41974.4393,11191.99,44183.19987,11780.93,41603.1872,11093,44048.11046,11744.91,74970
04-08-2020,42078.28787,11219.68,42810.74099,11414.98,41254.4,11000,41974.36429,11191.97,58629
03-08-2020,41522.02854,11071.36,43028.3392,11473,41014.3744,10936,42078.77542,11219.81,56931
02-08-2020,44259.10797,11801.17,45467.82438,12123.46,39448.5824,10518.5,41521.99104,11071.35,97553
01-08-2020,42512.50918,11335.46,44483.4944,11861,42079.488,11220,44259.10797,11801.17,85087
31-07-2020,41628.65242,11099.79,42919.5776,11444,41104.384,10960,42512.50918,11335.46,70063
30-07-2020,41631.39021,11100.52,41891.968,11170,40620.5824,10831,41627.97734,11099.61,60794
29-07-2020,40902.87501,10906.27,42540.11213,11342.82,40549.3248,10812,41631.42771,11100.53,76838
28-07-2020,41366.76198,11029.96,42162.85939,11242.23,39622.976,10565,40902.87501,10906.27,97267
27-07-2020,37247.24762,9931.54,42735.28294,11394.86,37193.50438,9917.21,41366.76198,11029.96,150188
26-07-2020,36380.45517,9700.42,37920.2944,10111,36191.36,9650,37247.24762,9931.54,65279
25-07-2020,35771.69024,9538.1,36502.26816,9732.9,35677.5552,9513,36380.45517,9700.42,40679
24-07-2020,36016.10381,9603.27,36142.6048,9637,35491.68538,9463.44,35770.56512,9537.8,43931
23-07-2020,35696.90726,9518.16,36243.8656,9664,35405.01363,9440.33,36016.10381,9603.27,51856
22-07-2020,35216.256,9390,35793.8176,9544,34732.4544,9261,35696.90726,9518.16,48815
21-07-2020,34356.58931,9160.78,35395.26259,9437.73,34326.66112,9152.8,35216.256,9390,60413
20-07-2020,34537.3961,9208.99,34584.38861,9221.52,34244.9024,9131,34356.58931,9160.78,35458
19-07-2020,34392.29312,9170.3,34624.70541,9232.27,34133.70304,9101.35,34537.3961,9208.99,26052
18-07-2020,34332.32422,9154.31,34576.06272,9219.3,34207.77344,9121.1,34392.21811,9170.28,22554
17-07-2020,34255.10349,9133.72,34454.28723,9186.83,34090.42342,9089.81,34332.36173,9154.32,28054
16-07-2020,34494.67904,9197.6,34601.75296,9226.15,33930.8064,9047.25,34255.10349,9133.72,43375
15-07-2020,34713.13984,9255.85,34790.5481,9276.49,34355.80173,9160.57,34494.67904,9197.6,39053
14-07-2020,34663.48454,9242.61,34801.98682,9279.54,34177.3952,9113,34713.13984,9255.85,45772
13-07-2020,34891.13382,9303.31,35043.06253,9343.82,34507.01786,9200.89,34663.52205,9242.62,42740
12-07-2020,34631.26861,9234.02,35047.488,9345,34344.288,9157.5,34889.0336,9302.75,30872
11-07-2020,34834.99034,9288.34,34876.01971,9299.28,34422.1088,9178.25,34631.30611,9234.03,22561
10-07-2020,34625.26797,9232.42,34944.27699,9317.48,34222.4,9125,34834.99034,9288.34,38295
09-07-2020,35388.99942,9436.06,35406.73882,9440.79,34353.664,9160,34625.30547,9232.43,48044
08-07-2020,34718.95296,9257.4,35516.288,9470,34619.9424,9231,35388.99942,9436.06,56140
07-07-2020,35037.99949,9342.47,35176.57677,9379.42,34514.9312,9203,34718.91546,9257.39,34587
06-07-2020,34013.91526,9069.41,35160,9375,33963.32237,9055.92,35044.48768,9344.2,54463
05-07-2020,34259.904,9135,34298.3081,9145.24,33352.41971,8893.03,34013.91526,9069.41,34073
04-07-2020,33970.33562,9057.79,34466.176,9190,33903.76602,9040.04,34261.62918,9135.46,26441
03-07-2020,34078.15962,9086.54,34222.4,9125,33894.12749,9037.47,33972.0983,9058.26,28943
02-07-2020,34623.6553,9231.99,34736.05478,9261.96,33528.576,8940,34078.15962,9086.54,45725
01-07-2020,34271.45523,9138.08,34848.7168,9292,34054.00704,9080.1,34623.6928,9232,38488
30-06-2020,34477.16467,9192.93,34522.432,9205,33996.96346,9064.89,34273.21792,9138.55,31463
29-06-2020,34189.24646,9116.16,34646.1952,9238,33846.12237,9024.67,34475.77702,9192.56,42120
28-06-2020,33798.6048,9012,34469.9264,9191,33558.80422,8948.06,34189.95904,9116.35,30688
27-06-2020,34361.95238,9162.21,34489.5785,9196.24,33127.2832,8833,33798.6048,9012,46290
26-06-2020,34689.2873,9249.49,34871.2192,9298,33924.05568,9045.45,34361.95238,9162.21,50292
25-06-2020,34872.45683,9298.33,35028.736,9340,33789.94138,9009.69,34689.2873,9249.49,55831
24-06-2020,36095.08723,9624.33,36266.368,9670,34533.6832,9208,34865.5561,9296.49,61571
23-06-2020,36325.21178,9685.69,36453.888,9720,35917.69331,9577.03,36097.18746,9624.89,41031
22-06-2020,34858.80538,9294.69,36678.912,9780,34792.79834,9277.09,36325.21178,9685.69,57895
21-06-2020,35099.80608,9358.95,35336.2688,9422,34809.48762,9281.54,34858.80538,9294.69,24316
20-06-2020,34917.08659,9310.23,35235.008,9395,34394.73088,9170.95,35099.80608,9358.95,30329
19-06-2020,35202.45453,9386.32,35397.40032,9438.3,34562.89882,9215.79,34917.08659,9310.23,45330
18-06-2020,35498.02355,9465.13,35587.5456,9489,34803.712,9280,35202.45453,9386.32,37381
17-06-2020,35729.94829,9526.97,35872.576,9565,34640.98214,9236.61,35498.06106,9465.14,48046
16-06-2020,35351.45792,9426.05,35962.5856,9589,35152.83674,9373.09,35724.77274,9525.59,52052
15-06-2020,35036.61184,9342.1,35610.048,9495,33417.75168,8910.45,35351.34541,9426.02,86107
14-06-2020,35528.81434,9473.34,35557.5049,9480.99,34672.448,9245,35036.61184,9342.1,30055
13-06-2020,35497.38598,9464.96,35609.03539,9494.73,35069.9904,9351,35528.81434,9473.34,27759
12-06-2020,34799.51155,9278.88,35843.02285,9557.12,34625.6055,9232.51,35498.02355,9465.13,50119
11-06-2020,37073.52909,9885.22,37368.9856,9964,34177.3952,9113,34805.21216,9280.4,94418
10-06-2020,36650.55898,9772.44,37476.69709,9992.72,36394.55667,9704.18,37072.704,9885,47130
09-06-2020,36686.4128,9782,37042.7008,9877,35891.328,9570,36650.52147,9772.43,46024
08-06-2020,36555.1113,9746.99,36753.92,9800,36127.6032,9633,36686.4503,9782.01,40664
07-06-2020,36254.55424,9666.85,36761.4208,9802,35150.47398,9372.46,36555.1113,9746.99,57952
06-06-2020,36083.23597,9621.17,36510.144,9735,35745.24992,9531.05,36252.49152,9666.3,32752
05-06-2020,36709.44026,9788.14,36959.2544,9854.75,35932.5824,9581,36083.19846,9621.16,47788
04-06-2020,36252.56653,9666.32,37060.06515,9881.63,35441.28,9450,36712.89062,9789.06,57456
03-06-2020,35696.38221,9518.02,36341.376,9690,35123.28358,9365.21,36252.2665,9666.24,46252
02-06-2020,38264.24358,10202.71,38362.8041,10228.99,34751.2064,9266,35696.45722,9518.04,108970
